Location,Timestamp,mq135_raw,soil_moisture,soil_temperature,speed,light_intensity_lux,sound_level,rain_detected,estimated_ppm,temperature,humidity,pressure,altitude,uv_index
19.0890_72.8690,1752069438.8406923,458,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069445.3465362,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069451.5448463,446,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069457.7465823,437,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069464.2608058,455,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069471.8512387,473,0.0,28.4,0.5,720,0,0,320,27.0,74.0,1013.25,14.3,0.0
19.0890_72.8690,1752069478.12386,454,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,4.0
19.0890_72.8690,1752069484.3686416,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069490.6157658,486,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069496.7717688,424,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069503.1445396,463,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069509.4694266,462,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069515.9087613,481,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069522.1465492,470,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069528.4777863,461,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069534.653794,465,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069540.8466785,496,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069546.9599912,453,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069553.2790658,415,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069559.7791917,484,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069565.9705453,327,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069572.431831,469,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,0.0
19.0890_72.8690,1752069578.7448595,464,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
19.0890_72.8690,1752069584.998778,454,0.0,28.4,0.5,720,0,0,320,27.0,73.0,1013.25,14.3,15.0
